metric	n	pearson_r	spearman_rho
within_region_enrichment	106	0.7779636982729718	0.7268474199419562
outside_region_enrichment	106	0.7779695598193634	0.712222205437212
total_h2	106	0.9293005192989372	0.9820538787195658
